2025-02-27T09:15:11.045+03:00 appender 12308 --- [main] c.e.u.StickersCreateApplication          : Started StickersCreateApplication in 4.199 seconds (process running for 6.039)
2025-02-27T09:15:15.294+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом.xlsx
2025-02-27T09:15:18.093+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.1024837 сек.
2025-02-27T09:15:18.093+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:18.149+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0466411 сек.
2025-02-27T09:15:18.150+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:18.154+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:18.155+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx
2025-02-27T09:15:19.281+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0608971 сек.
2025-02-27T09:15:19.285+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:19.346+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0609857 сек.
2025-02-27T09:15:19.348+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:19.350+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_1.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:19.352+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_2.xlsx
2025-02-27T09:15:20.287+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0387205 сек.
2025-02-27T09:15:20.287+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:20.315+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0275378 сек.
2025-02-27T09:15:20.317+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:20.320+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_2.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:20.321+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_3.xlsx
2025-02-27T09:15:21.090+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0696154 сек.
2025-02-27T09:15:21.090+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:21.144+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0501478 сек.
2025-02-27T09:15:21.150+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:21.156+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_3.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:21.164+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_4.xlsx
2025-02-27T09:15:22.237+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0679185 сек.
2025-02-27T09:15:22.239+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:22.323+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0769582 сек.
2025-02-27T09:15:22.349+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:22.370+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_4.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:22.390+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_5.xlsx
2025-02-27T09:15:22.811+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0208478 сек.
2025-02-27T09:15:22.811+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:22.827+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0145623 сек.
2025-02-27T09:15:22.828+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:22.832+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_5.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:22.834+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_6.xlsx
2025-02-27T09:15:23.241+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0162954 сек.
2025-02-27T09:15:23.242+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:23.261+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0169917 сек.
2025-02-27T09:15:23.262+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:23.265+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_6.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:15:23.267+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Найден XLSX файл в архиве: 26.02.2025_17.35_Общие характеристики одним файлом_7.xlsx
2025-02-27T09:15:23.397+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0225758 сек.
2025-02-27T09:15:23.397+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица штрихкодов построена
2025-02-27T09:15:23.402+03:00 appender 12308 --- [main] c.e.uploadingfiles.ExcelReadService      : Обработан файл-справочник за 0.0039826 сек.
2025-02-27T09:15:23.402+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Хэш-таблица брендов построена
2025-02-27T09:15:23.404+03:00 appender 12308 --- [main] c.e.u.FileUploadRestController           : Обработан файл-справочник 26.02.2025_17.35_Общие характеристики одним файлом_7.xlsx из архива 26_02_2025_17_35_Общие_характеристики_одним_файлом.zip
2025-02-27T09:32:12.538+03:00 appender 12308 --- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-27T09:32:12.542+03:00 appender 12308 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-02-27T09:32:12.551+03:00 appender 12308 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 6 ms
2025-02-27T09:38:46.537+03:00 appender 12308 --- [http-nio-8081-exec-9] o.s.web.servlet.PageNotFound             : No mapping for GET /api/getReferenceFileRecordsCount
2025-02-27T09:38:46.618+03:00 appender 12308 --- [http-nio-8081-exec-9] o.s.web.servlet.PageNotFound             : No endpoint GET /api/getReferenceFileRecordsCount.
2025-02-27T09:39:37.101+03:00 appender 18328 --- [main] c.e.u.StickersCreateApplication          : Starting StickersCreateApplication using Java 21.0.2 with PID 18328 (D:\rpo\java\Stickers2\target\classes started by 8_kovalenko_351 in D:\rpo\java\Stickers2)
2025-02-27T09:39:37.106+03:00 appender 18328 --- [main] c.e.u.StickersCreateApplication          : No active profile set, falling back to 1 default profile: "default"
2025-02-27T09:39:39.906+03:00 appender 18328 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2025-02-27T09:39:39.929+03:00 appender 18328 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-02-27T09:39:39.930+03:00 appender 18328 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.28]
2025-02-27T09:39:40.054+03:00 appender 18328 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-02-27T09:39:40.054+03:00 appender 18328 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2787 ms
2025-02-27T09:39:41.169+03:00 appender 18328 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
